A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.14	Pomoć u rješavanju diferencijalne jednačine prvog reda	Imam razliku prvog reda $$y=xy'+ \frac{1}{2}(y')^{2}$$ Možda će s tim netko pronaći način da ga riješimo $$\frac{1}{2}y'(2x+y')=y$$ Mislio sam da mogu koristiti $x^2+y=t$ za potpis i kada izvedem, imam $t'=2x+y'\\(t'-2x)t'=2t-2x^2$ koji je zapravo isti kao i prethodni.	ordinary-differential-equations
A.15	Odvođenje iznosa $\sum_{i=1}^n ix^{i-1}$	Za serije $$1 + 2x + 3x^2 + 4x^3 + 5x^4 + ... + nx^{n-1}+... $$ i $x \ne 1, |x| < 1$. Moram pronaći djelomične sume i na kraju, zbir $S_n$ serija. Evo što sam pokušao: Možemo uzeti seriju $S_2 = 1 + x + x^2 + x^3 + x^4 + ...$ tako da $\frac{d(S_2)}{dx} = S_1$ (izvorni niz). Za $|x| < 1$ zbir $S_2$ (ovu je geometrijska progresija): $\frac{1-x^n}{1-x} = \frac{1}{1-x}$ $S_1 = \frac{d(S_2)}{dx} = \frac{d(\frac{1}{1-x})}{dx} = \frac{1}{(1-x)^2}$ Ali ovaj odgovor nije tačan. Gdje je moja greška? Hvala.	sequences-and-series,convergence,summation,power-series
A.16	Pronaći $ \int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}dx$	Računajte $$\int_0^1\frac{\ln(1+x)\ln(1-x)}{1+x}\,dx$$ Moj pokušaj: Let: $$I(a,b)=\int_0^1\frac{\ln(1-ax)\ln(1+bx)}{1+x}\,dx$$ Onda izračunajte $\frac{d^2 I(a,b)}{dadb}$.	integration,sequences-and-series,definite-integrals,closed-form
A.17	Računajte $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$ funkcijom $\frac{e^{iz}}{z}$	Želim izračunati $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$ funkcijom $f(z) = \frac{e^{iz}}{z}$. Razmišljao sam o korištenju zatvorenog puta $\Gamma = \gamma _1 + \gamma _R + \gamma _2 + \gamma _{\epsilon}$, kada: $\gamma_1 (t) = t, t \in [i\epsilon, iR]$ $\gamma_R (t) = Re^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]$ $\gamma_2 (t) = t, t \in [-iR, -i\epsilon]$ $\gamma_{\epsilon} (t) = \epsilon e^{it}, t \in [-\frac{\pi}{2}, \frac{\pi}{2}]$ Koristim činjenicu da je $\frac{\sin(x)}{x}$ parna funkcija i ima anti-derivat, tako da je integral na zatvorenom putu nula. Uspjela sam pokazati da $\int_{\gamma _{\epsilon}} f = -i\pi$ kada $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$0. Međutim, ja se bori da pokažem da $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$1 kada $\int _{x=0}^{\infty} \frac{\sin(x)}{x}$2 Pomoć bi bio cijenjen	complex-analysis,improper-integrals
A.18	Ocenjuje $\lim_{n \rightarrow \infty } \frac {[(n+1)(n+2)\cdots(n+n)]^{1/n}}{n}$	Ocijeni $$\lim_{n \rightarrow \infty~} \dfrac {[(n+1)(n+2)\cdots(n+n)]^{\dfrac {1}{n}}}{n}$$ koristeći Cesáro-Stolz teoremu. Znam da postoji mnogo pitanja poput ove, ali želim da je riješim koristeći Cesáro-Stolz metodu i ne druge. Uzeo sam log i primijenio Cesáro-Stolz, dobivam $$\log{2}+n\log\cfrac{n}{n+1}$$ Koji mi daje odgovor kao $\frac{2}{e}$ . Ali odgovor je $\frac{4}{e}$. Može li netko pomoći?	sequences-and-series
A.19	Najveći zajednički faktor $ p^4-1$	Prvo sam dobio vrijednost $7^4 - 1$ koja ima dijeleće $2^4* 3 *5*2$ i $11^4 - 1$ koja ima dijeleče $2^4 *3 * 5*61$ koja ima GCF $2^4*3*5$ mogu dokazati da je $p^4 - 1$ podijeljen s 3 i 5 slučajevima i 8 s $(p^2+1)(p-1)(p+1)$ su čak i čitav broj, ali ne znam kako dokazati podijelljivost $2^4$, ne želim ga razbiti jer moramo provjeriti oko 7 brojeva kako bismo dokazali njegovu podijelljivost dodjeljenjem $p^4-1$0 gdje x <16	divisibility,greatest-common-divisor
A.20	Računati sve $n \in \Bbb N \setminus \{41\}$ tako da $\phi(n)=40$?	Tražim $n \in \Bbb N$, za koji $\phi(n) = 40$, gdje je $\phi$ Eulerova-Totientna funkcija, već sam našao jednu, a to je, $n=41$ Kako izračunati $n's$?	totient-function
A.21	Pronaći posljednje dvije cifre $9^{9^{9^{…{^9}}}}$ ( devet devetki)	Nastavio sam u svom putu učenja o modularnoj aritmetici i zbunjen s ovim pitanjem: Naći posljednje dvije cifre $9^{9^{9^{…{^9}}}}$ ( devet devet).	number-theory,modular-arithmetic
A.22	Nađi broj d-ova koji zadovolji $d, d+1, d+2... = N$ za $N$	Imam izazov o mačku u putovanju gdje može hodati na put $d, d+1, d+2...$ i suma toga bi trebala dati $N$, uzimajući $N$, koliko načina odabirati $d$ su mogući? Primjer: $N=30$ -> $Ans=3$ $d_1=4; d_2=6; d_3=8$ Za $d_1: 4 + 5 + 6 + 7 + 8 = 30$ Edit: Drugi način da ga vidite je: Koliko podsjeka u sumiranju do N su moguća na način $(\sum (d+n) - \sum(d-1))$ = N	sequences-and-series,number-theory
A.23	Kako da nađem LCM?	P: Ako je proizvod dva cjelina $2^7 \cdot 3^8 \cdot 5^2 \cdot 7^{11}$ i njihov najveći zajednički dijeljak $2^3 \cdot 3^4 \cdot 5$, što je njihov najmanji zajednički množica? Imam problem s ovim pitanjem molim vas, pomozite mi da ga riješim. Pokušao sam pretpostaviti da je lcm $x$ =.	prime-numbers,greatest-common-divisor,least-common-multiple
A.24	Je li ovo jedini način da se procjeni $\sqrt{2i-1}?$	Računamo $\sqrt{2i-1}?$ $2i-1=(a+bi)^2$ $a^2+2abi-b^2$ $a^2-b^2=-1$ $2ab=2$ $a^2=b^{-2}$ $b^{-2}-b^2=-1$ $-b^{4}+1=-1$ $b^4=2$ $\sqrt{2i-1}?$0 Možemo li riješiti $\sqrt{2i-1}?$1 na drugi način?	algebra-precalculus
A.25	Što može biti P(0), kada je $P(x^2+1)=(P(x))^2+1$ i P(x) polinom?	Što može biti $P(0)$, kad je $P(x^2+1)=(P(x))^2+1$ i $P(x)$ polinom? Neka je $P(0)=0$, onda je $P(1)=1$, $P(2)=2$, $P(5)=5$, $P(26)=26$, $P(677)=677$... itd. Onda je $P(0)$0, jer su sve tačke na $P(0)$1 $P(0)$2. Ako je $P(0)$3, onda je $P(0)$4 iz istog razloga. Ali kada je $P(0)$5, imamo da $P(0)$6 ne konvergira u cijeli broj. Dakle mislim da $P(x)$ ne može biti polinom. Onda su vrijednosti $P(0)$ koje čine $P(x)$ polinom?	polynomials
A.26	Kako riješiti neodređen integral koristeći Taylorovu niz?	$$\int_0^\infty\frac{\sin x}{x}dx.$$ Moj pokušaj: prvo sam dobio Taylorovu seriju $\int_0^x\frac{sin x}{x}dx$ koja je sljedeća: $$x-\frac{x^3}{3 \times 3!}+\frac{x^5}{5\times5!}-\frac{x^7}{7 \times 7!}+\cdots = \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!} $$ Sada $\int_0^\infty\frac{\sin x}{x}dx=\lim_{x\to \infty} \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!}$ i ja sam zaglavio ovdje!	real-analysis,calculus,integration,taylor-expansion,riemann-integration
A.27	Koja je vrijednost $e^{3i \pi /2}$?	Kada rješavamo vrijednost, znamo da je $e^{\pi i}=-1$. Ja sam zbunjen u vezi što je pravi odgovor kada procjenjujete ovo. Ja dobivam dva moguća odgovora: $e^{3\pi i/2}$ = $(e^{\pi i})^{3/2}$ tako da bi to moglo biti $(\sqrt{-1})^3=i^3=-i$ ili bi moglo biti $\sqrt{(-1)^3}=\sqrt{-1}=i$. Koji je pravi odgovor, i gdje sam ja pogrešno? Hvala.	complex-numbers,exponentiation
A.28	Ako je $\sin(18^\circ)=\frac{a + \sqrt{b}}{c}$, onda što je $a+b+c$?	Ako je $\sin(18)=\frac{a + \sqrt{b}}{c}$ u naj jednostavnijem obliku, onda što je $a+b+c$? $$ $$ Pokušaj: $\sin(18)$ u pravokotniku s stranama $x$ (naprijed ugla sa kutom $18$ stupnjeva), $y$, i hipotenuza $z$, zapravo je samo $\frac{x}{z}$, onda $\sin(18)=\frac{a + \sqrt{b}}{c}$0. Možemo pronaći $y$ kao $\sin(18)=\frac{a + \sqrt{b}}{c}$1 tako da imamo $\sin(18)=\frac{a + \sqrt{b}}{c}$2 također sam saznao da $\sin(18)=\frac{a + \sqrt{b}}{c}$3 ja nemam pojma nakon ovoga. Rješenje kaže da $\sin(18)=\frac{a + \sqrt{b}}{c}$4 moram intuirati da moramo pronaći $\sin(18)=\frac{a + \sqrt{b}}{c}$5 tako da $\sin(18)=\frac{a + \sqrt{b}}{c}$6 onda $\sin(18)$ je korijen i $\sin(18)=\frac{a + \sqrt{b}}{c}$7, i $\sin(18)=\frac{a + \sqrt{b}}{c}$8. potpuno drugačije.	algebra-precalculus,trigonometry,euclidean-geometry,contest-math
A.29	Dijela složenog broja beskrajnom	Moj učitelj PreCalculus nedavno je pregledao svojstva ograničenja s nama prije našeg testa i izjavio da je bilo koje stvarno broje podijeljeno na beskonačnost jednako nuli. To me je dovelo do razmišljanja i pitao ih je li bi kompleksni broj (tj. $3+2i$ ili $-4i$) podijeljen na beskonačnost jednako nuli. To ih je potpuno zbunilo i nisam mogao dobiti odgovor. Nakon neke teorijske izračune, znajući da $i=\sqrt{-1}$, izračunao sam da je kompleksni broj poput $\frac{5i}{\infty}=0$ od $$\frac{5}{\infty}\cdot \frac{\sqrt{-1}}{\infty} = 0\cdot 0 = 0,$$ koristeći svojstva korištene s stvarnim brojevima koji bi rekli da $\frac{5x}{\infty} = 0$ od $$\frac{5}{\infty}\cdot \frac{x}{\infty} = 0\cdot 0 = 0.$$ Je li ovaj teoretski izračun ispravni ili postoji više u konceptu od ovoga?	algebra-precalculus,limits,complex-numbers,infinity
A.30	Nađi $a^3+b^3+c^3-3abc$ (binomijalni teorema)	$$a=\sum_{n=0}^\infty\frac{x^{3n}}{(3n)!}\\b=\sum_{n=1}^\infty\frac{x^{3n-2}}{(3n-2)!}\\c=\sum_{n=1}^\infty\frac{x^{3n-1}}{(3n-1)!}$$Postavi $a^3+b^3+c^3-3abc$: $(a)\ 1$ $(b)\ 0$ $(c)-1$ $(d)-2$ Molim vas pomozite mi riješiti ovo pitanje. Dodao sam $a,b$ i $c$.	binomial-theorem
A.32	Jesu li definicije aksiome?	Želim postaviti vrlo elementarno pitanje. Kada uvodimo definiciju u logski sustav prvog reda. Na primjer, kada kažemo Definije: $Empty(x) \iff \not \exists y (y \in x) $ Nije li ta definicija sama "aksjom", nazovite je definicijskim aksiom. Pitanjem to jer je jedan mjesto predikat simbol Prazan() zapravo novi, nije među navedenim primitivima recimo Zermelo, koji ima samo identitet i članstvo kao primitivni simboli. Dakle, kada govorimo definicije zapravo govorimo o aksiomima? ali umjesto da se radi o karakteriziranju primitivnog, to su definicijske aksiome koji daju potpunu uputku na određeni skup simbola u sustavu.	terminology,definition,first-order-logic,axioms
A.33	Fizikološki značenje i značaj treće izvedene funkcije	S obzirom na fizičku veličinu koja je predstavljena funkcijom $f(t,x)$, što je (ako postoji) stvarni značaj treće izvedene od $f$, $\frac{\partial^3 f}{\partial t^3}$ ili $\frac{\partial^3 f}{\partial x^3}$	physics
A.34	U skladu s člankom 4. stavkom 1. stavkom 1. stavkom 1. stavkom 2.	Dakle... imao sam glupu ideju proširiti Knuthovu notiranje gore-na-na-na-na-na-na-na tako da uključuje nula i negativne strijele. To je obično definirano kao $$\begin{align*} a \uparrow b & = a^b \\ a \uparrow^n b & = \underbrace{a \uparrow^{n - 1} (a \uparrow^{n - 1} (\dots(a \uparrow^{n - 1} a) \dots ))}_{b\text{ copies of } a} \end{align*}$$. tako da je, u osnovi, hipersekvencija počinje iz eksponencijacije. Za sada, samo ću razmotriti $a,b > 0$. Ako pokušamo ići natrag od $a \uparrow b$. "trivijalno" proširenje (ostavljajući dolje strijele predstavljaju negativne gore-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-	hyperoperation,ackermann-function
A.35	Kada funkcija NE ima antiderivat?	Znam da ovo pitanje zvuči naivno, ali zašto ne možemo napisati $\int e^{x^2} dx$ kao $\int e^{2x} dx$? Prvi nema antiderivat, dok drugi ima. U svjetlu ovog pitanja, koji su dovoljni uvjeti za funkciju da NE ima antiderivat. To jest, trebamo li pažljivo proučavanje funkcije da bismo rekli da nema antiderivat ili postoji li način da, kad vidite funkciju, odmah možete reći da nema antiderivat?	integration
A.36	Dokaz po suprotnosti, status početne pretpostavke nakon završetka dokaza.	Prvo bih želio reći da sam tražio odgovore na svoje specifično pitanje i nisam ga našao u postojećim temama. Pitanje je prilično jednostavno. Recimo, moramo dokazati tvrdnju P metodom proturječnosti. Pretpostavljajući da $\lnot P$ drži, koristeći popis izjava dokazanih ranije ili izveden od nas tijekom dokaza, dobijemo P je $true$. $$\lnot P  \to A_1 \to\ ... \ \to A_n \to P$$ $$\lnot P  \to  P \iff \lnot(\lnot P) \lor P \iff P $$ Možemo stoga dodati P na popis naših dokazanih izjava, jer je izveden. Većina dokaza sadrži nešto u redovima "Dobržen kontradiktor dokazuje da je naša početna pretpostavka ($\lnot P$) bila pogrešna i tako da $P$ drži". Što ne razumijem je, ako se početna pretpostavka ($\lnot P$) tako dokaže da je lažna, zašto onda možemo biti sigurni da je bilo što izveden od nje drži (posebno da drži P$\lnot P$)?	logic,proof-writing
A.37	Ne trivijalni primjeri $f\circ g = g \circ f$, ali $f^{-1} \neq g$ i $f\neq\mathrm{id}\neq g$.	Postoje li funkcije $f$ i $g$ s realnom vrijednošću koje nisu međusobno obrnuto, identiteta ili linearna, ali ipak pokazuju ponašanje $$f\circ g = g \circ f?$$ Primjeri kao što su $f(x) = 2x$ i $g(x)=3x$ su "trivijalni" u tom smislu.	real-analysis,functional-analysis,functions
A.38	Koriste aksioma izbora	Ja sam prvi godinu studenta matematike, ali povremeno odlažem od našeg predavanja. Prije nekoliko godina prvi put sam vidio ZFC aksiome, ali sada kad sam na koledžu, i iako stvari koje sam naučio do sada nije ni blizu ZFC (u smislu teškoće), dogodilo se da mi se koristi aksioma izbora cijelo vrijeme u svakom modulu, čak i ako ga još ne znamo po imenu. Na primjer, u dokazu da za svaki ne-negativni cjeloviti broj $a, b$, postoje čjelici $q, r: a = bq + r$ (s ograničenjima na r), a dokaz počinje ovako: $Choose$ najveći cjeloviti broj $q : qb <= a$ ... bla bla bla. Je li to aksioma izbora koja nam omogućuje izvršavanje ove jednostavne tako važne? I još nekoliko pitanja: možete li nazvati neke druge jednostavne dokaze, ili rezultate, za koje su osnovni dokazi za rad, a što je još uvijek poznato, a da je neki matematičari ne mogu ni da potvrde da je to alternativna stvar, ali da je to još uvijek postoji.	set-theory
A.39	Kako znati koja vrijednost je veća?	Što je veće između $2018^{2019}$ ili $\ 2019^{2018}\ $? Kad uzmem dnevnice s obje strane i dobijem: $2019\log(2018)\ $ i $\ 2018 \log(2019)$ znam $\log 2019\gt \log 2018$, znači li to da je $2019^{2018}$ najveći?	algebra-precalculus,logarithms
A.40	Što znači izraz "linijski"	$a_1x_1+a_2x_2+a_3x_3+...+a_nx_n=$ se naziva linearno jednadžbo jer predstavlja jednadžbo linije u n dimenzijskom prostoru. Dakle, "linear" dolazi od riječi "line". U osnovi ne bi trebalo biti nijedna veća snaga x-a koji ne bi grafički funkcija neće biti ravna linija. Slično $a(x)y+b(x)y'+c(x)y"+d(x)y'''+...+q(x)=0$ se također naziva linearno diferencijalno jednadžbo jer sve derivate imaju snaga jednaku 1 koja je slična gore definiranom linijskom jednadžbi. Funkcija f se naziva linearnom ako: $f(x+y)=f(x)+f(y)$ i $f(cx)=cf(x)$. Ovdje je c stalna. U ovoj definiciji linearnosti funkcije "$f$" što znači riječ linear? Kako se odnosi na linijsku liniju? što znači izraz linear u slučaju linijskih linijskih vektorskih prostorova gdje je referenca na linijsku liniju?	linear-algebra
A.41	Zaburjenost u tome kako pronaći broj na funkcije ako su dva seta	U knjizi je dato ako su A i B dva konačna skupina koja sadrže $m$ i $n$ elemente, odnosno, onda će broj na funkcije od A do B biti ako $n \leq m$ $$\sum_{r=1}^n (-1)^{(n-r)} {n \choose r}(r)^m $$ dobro ne mogu razumjeti i ja sam svjestan kombinacija.	combinatorics,functions,combinations
A.42	Što je jednostavna, fizička situacija u kojoj se složeni brojevi prirodno pojavljuju?	Pokušavam naučiti srednjoškolce o pojavljivanju složenih brojeva i želim to organično motivirati. Mislim na neki problem u stvarnom svijetu koji su ljudi pokušavali riješiti koji ih je doveo do shvatanja da moramo proširiti stvarne brojeve na kompleks. Na primjer, Grci su bili prisiljeni prepoznati iracionalne brojeve ne iz čisto matematičkih razloga, već zato što je dužina dijagonale kvadrata s jediničnom dužinom stvarno iracionalna, a ovo je vrsta geometrijske situacije s kojom su već se bavili.	complex-numbers,physics,applications
A.43	Dokaz $\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2$	Pokušavam dokazati $$\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2$$ Letting $$S=\sum_{n\geq1}\frac1{n^2+1}$$ podsjećamo Fourierovu niz za eksponencijalnu funkciju $$e^x=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos nx-n\sin nx)$$ Plugging u $x=\pi$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos n\pi-n\sin n\pi)$$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}((-1)^n-n\cdot0)$$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi S$$ $$S=\frac{\pi e^\pi}{2\sinh\pi}-\frac12$$ Ali to nije ni blizu ispraviti. Što sam učinio pogrešno, i kako mogu dokazati identitet? Hvala.	real-analysis,sequences-and-series
A.44	Za $A,B \in \mathscr{M}_{2\times2}(\mathbb{Q}) $ krajnjeg reda, pokažite da $AB$ ima beskonačan red	Neka $G$ bude skupina $ ( \mathscr{M}_{2\times2}(\mathbb{Q}) , \times ) $ nejedinstvenih matrica. Neka $ A = \left ( \begin{matrix}  0 & -1 \\   1 & 0  \end{matrix} \right ) $, redoslijed $A$ je $4$; neka $ B = \left ( \begin{matrix}  0 & 1 \\   -1 & -1  \end{matrix} \right ) $, redoslijed $B$ je $3$. Pokažite da $AB$ ima beskonačan red. Jedini mogući razbor je po suprotnosti jer $G$ nije abelijanski. I tako sam pokušao, ali sam se zaglavio prije bilo kakvog konkretnog razvoja. Bilo kakve sugestije su dobrodošle, hvala.	matrices,group-theory,cyclic-groups
A.45	Kako dokazati da je {$\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)$} neovisno u $\mathbb{R}$?	Dokazati da je {$\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)$} neovisno u $\mathbb{R}$ moj suđenje: znamo da Wronsekian ne bi trebao biti $0$ dobiti trivijalno rješenje i stoga su neovisni. nije trivijalno pokazati da $ W \not = 0$ W = $\begin{vmatrix} (1)\sin(x) & (1)\sin(2x) & (1)\sin(3x) &  ... &   (1)\sin(nx) \\ (1)\cos(x) & (2)\cos(2x) & (3)\cos(3x) &  ... &   (n)\cos(nx) \\  -(1)^2\sin(x) & -(2)^2\sin(2x) & -(3)^2\sin(3x) &  ... &   -(n)^2\sin(nx) \\ -(1)^3\cos(x) & -(2)^3\cos(2x) & -(3)^3\cos(3x) &  ... &   -(n)^3\cos(nx) \\ \end{vmatrix}$ i tako dalje. izgleda kao Vandermonde matica, ali ne mogu dokazati da i tako zaključimo da je $W\not =0$	ordinary-differential-equations
