A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.23	Kako da nađem LCM?	P: Ako je proizvod dva cjelina $2^7 \cdot 3^8 \cdot 5^2 \cdot 7^{11}$ i njihov najveći zajednički dijeljak $2^3 \cdot 3^4 \cdot 5$, što je njihov najmanji zajednički množica? Imam problem s ovim pitanjem molim vas, pomozite mi ga riješiti. Pokušao sam pretpostaviti da je lcm $x$ =.	prime-numbers,greatest-common-divisor,least-common-multiple
A.24	Je li ovo jedini način da se procjeni $\sqrt{2i-1}?$	Računamo $\sqrt{2i-1}?$ $2i-1=(a+bi)^2$ $a^2+2abi-b^2$ $a^2-b^2=-1$ $2ab=2$ $a^2=b^{-2}$ $b^{-2}-b^2=-1$ $-b^{4}+1=-1$ $b^4=2$ $\sqrt{2i-1}?$0 Možemo li riješiti $\sqrt{2i-1}?$1 na drugi način?	algebra-precalculus
A.25	Što može biti P(0), kada su $P(x^2+1)=(P(x))^2+1$ i P(x) polinom?	Što može biti $P(0)$, kad su $P(x^2+1)=(P(x))^2+1$ i $P(x)$ polinom? Neka $P(0)=0$, onda $P(1)=1$, $P(2)=2$, $P(5)=5$, $P(26)=26$, $P(677)=677$... itd. Onda $P(0)$0, jer su sve točke na $P(0)$1 $P(0)$2. Ako je $P(0)$3, onda je $P(0)$4 iz istog razloga. Ali kad je $P(0)$5, imamo da $P(0)$6 ne konvergira u cijeli broj. Dakle, mislim da $P(x)$ ne može biti polinom.	polynomials
A.26	Kako riješiti neodređen integral koristeći Taylorovu niz?	Pokušavam pokazati da je sljedeći integral konvergentan, ali ne apsolutno. $$\int_0^\infty\frac{\sin x}{x}dx.$$ Moj pokušaj: prvi sam dobio Taylor seriju $\int_0^x\frac{sin x}{x}dx$ koja je sljedeća: $$x-\frac{x^3}{3 \times 3!}+\frac{x^5}{5\times5!}-\frac{x^7}{7 \times 7!}+\cdots = \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!} $$ Sada $\int_0^\infty\frac{\sin x}{x}dx=\lim_{x\to \infty} \sum_{n=0}^\infty (-1)^n\frac{x^{(2n+1)}}{(2n+1) \times (2n+1)!}$ i ja sam zaglavio ovdje! Što je sljedeći korak?	real-analysis,calculus,integration,taylor-expansion,riemann-integration
A.27	Koja je vrijednost $e^{3i \pi /2}$?	Kad rješavamo vrijednost, znamo da je $e^{\pi i}=-1$. zbunjen sam u pogledu toga koji je pravi odgovor kada procjenjujete ovo. Dobijem dva moguća odgovora: $e^{3\pi i/2}$ = $(e^{\pi i})^{3/2}$ tako da bi to moglo biti $(\sqrt{-1})^3=i^3=-i$ ili to bi moglo biti $\sqrt{(-1)^3}=\sqrt{-1}=i$. Koji je točan odgovor, i gdje sam pogriješio? Hvala.	complex-numbers,exponentiation
A.28	Ako je $\sin(18^\circ)=\frac{a + \sqrt{b}}{c}$, onda što je $a+b+c$?	Ako je $\sin(18)=\frac{a + \sqrt{b}}{c}$ u naj jednostavnijem obliku, onda što je $a+b+c$? $$ $$ Pokušaj: $\sin(18)$ u pravokotniku s stranama $x$ (naprijed ugla s uglom $18$ stupnjeva), $y$, i hipotenuza $z$, zapravo je samo $\frac{x}{z}$, onda $\sin(18)=\frac{a + \sqrt{b}}{c}$0. Možemo pronaći $y$ kao $\sin(18)=\frac{a + \sqrt{b}}{c}$1, tako da imamo $\sin(18)=\frac{a + \sqrt{b}}{c}$2 također sam saznao da $\sin(18)=\frac{a + \sqrt{b}}{c}$3 ja nemam pojma nakon ovoga. Rješenje kaže da $\sin(18)=\frac{a + \sqrt{b}}{c}$4 moram intuirati da moramo pronaći $\sin(18)=\frac{a + \sqrt{b}}{c}$5 tako da $\sin(18)=\frac{a + \sqrt{b}}{c}$6 onda $\sin(18)$ je korijen i $\sin(18)=\frac{a + \sqrt{b}}{c}$7, i $\sin(18)=\frac{a + \sqrt{b}}{c}$8. potpuno drugačije.	algebra-precalculus,trigonometry,euclidean-geometry,contest-math
A.29	Dijela složenog broja beskrajnom	Moj učitelj PreCalculus nedavno je pregledao svojstva ograničenja s nama prije našeg testa i izjavio da je bilo koje stvarno broje podijeljeno na beskonačnost jednako nuli. To me je dovelo do razmišljanja i pitao ih je li bi kompleksni broj (tj. $3+2i$ ili $-4i$) podijeljen na beskonačnost jednako nuli. To ih je potpuno zbunilo i nisam mogao dobiti odgovor. Nakon neke teorijske izračune, znajući da $i=\sqrt{-1}$, izračunao sam da je kompleksni broj kao što je $\frac{5i}{\infty}=0$ od $$\frac{5}{\infty}\cdot \frac{\sqrt{-1}}{\infty} = 0\cdot 0 = 0,$$ koristeći svojstva korištene s stvarnim brojevima koji bi rekli da $\frac{5x}{\infty} = 0$ od $$\frac{5}{\infty}\cdot \frac{x}{\infty} = 0\cdot 0 = 0.$$ Je li ovaj teoretski izračun ispravni ili postoji više u konceptu od ovoga?	algebra-precalculus,limits,complex-numbers,infinity
A.30	Nađi $a^3+b^3+c^3-3abc$ (binomijalni teorema)	$$a=\sum_{n=0}^\infty\frac{x^{3n}}{(3n)!}\\b=\sum_{n=1}^\infty\frac{x^{3n-2}}{(3n-2)!}\\c=\sum_{n=1}^\infty\frac{x^{3n-1}}{(3n-1)!}$$Potražite $a^3+b^3+c^3-3abc$: $(a)\ 1$ $(b)\ 0$ $(c)-1$ $(d)-2$ Molim vas pomozite mi riješiti ovo pitanje. Dodao sam $a,b$ i $c$.	binomial-theorem
A.32	Jesu li definicije aksiome?	Kad uvodimo definiciju u logistički sustav prvog reda. Na primjer, kada kažemo Define: $Empty(x) \iff \not \exists y (y \in x) $ Nije li ta definicija sama "aksjom", nazovite je definicijskim aksiom. Pitanjem to jer je jedan mjesto predikat simbol Prazan() zapravo novi, nije među navedenim primitivima recimo Zermelo, koji ima samo identitet i članstvo kao primitivni simboli. Dakle, kada izjavljujemo definicije zapravo izjavljujemo aksiome? Ali umjesto da se radi o karakteriziranju primitivnog, to su definicijske aksiome koje daju potpunu uputku na određeni skup simbola u sustavu.	terminology,definition,first-order-logic,axioms
A.33	Fizikološki značenje i značaj treće izvedene funkcije	U slučaju da je fizička veličina predstavljena funkcijom $f(t,x)$, što je (ako postoji) stvarni značaj treće izvedene vrijednosti $f$, $\frac{\partial^3 f}{\partial t^3}$ ili $\frac{\partial^3 f}{\partial x^3}$	physics
A.34	U skladu s člankom 4. stavkom 1. stavkom 1. stavkom 1. stavkom 2.	Dakle... imao sam glupu ideju da proširim Knuthovu notiranje gore-na-na-na-na-na-na-na-na-na tako da uključuje nula i negativne strijele. To je obično definirano kao $$\begin{align*} a \uparrow b & = a^b \\ a \uparrow^n b & = \underbrace{a \uparrow^{n - 1} (a \uparrow^{n - 1} (\dots(a \uparrow^{n - 1} a) \dots ))}_{b\text{ copies of } a} \end{align*}$$. tako da je, u osnovi, hipersekvencija počinje iz eksponencijacije. Za sada, samo ću uzeti u obzir $a,b > 0$. Ako pokušamo ići natrag od $a \uparrow b$, "trivijalni" proširenje (ostavljajući dolje strijele predstavljaju negativne gore-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-na-	hyperoperation,ackermann-function
A.35	Kada funkcija NE ima antiderivat?	Znam da ovo pitanje zvuči naivno, ali zašto ne možemo pisati $\int e^{x^2} dx$ kao $\int e^{2x} dx$? Prvi nema antiderivat, dok drugi ima. U svjetlu ovog pitanja, koji su dovoljni uvjeti za funkciju da NE ima antiderivat. To jest, trebamo li pažljivo proučavanje funkcije da bismo rekli da nema antiderivat ili postoji način da, kad vidite funkciju, odmah možete reći da nema antiderivat?	integration
A.36	Dokaz po suprotnosti, status početne pretpostavke nakon završetka dokaza.	Prvo bih želio reći da sam tražio odgovore na svoje konkretno pitanje i nisam ga našao u postojećim temama. Pitanje je prilično jednostavno. Recimo, moramo dokazati tvrdnju P metodom proturječnosti. Pretpostavljajući da $\lnot P$ drži, koristeći popis izjava dokazano ranije da drži ili izveden od nas tijekom dokaza, dobijemo P je $true$. $$\lnot P  \to A_1 \to\ ... \ \to A_n \to P$$ $$\lnot P  \to  P \iff \lnot(\lnot P) \lor P \iff P $$ Možemo stoga dodati P na popis naših dokazanih izjava, jer je izveden. Većina dokaza sadrži nešto u redovima "Dobrojeno proturječnost dokazuje da je naša početna pretpostavka ($\lnot P$) bila pogrešna i tako da $P$ drži". Što ne razumijem je, ako se početna pretpostavka ($\lnot P$) tako dokaže da je lažna, zašto onda možemo biti sigurni da je bilo što izveden od toga (na određenoj vrsti, da drži PZ1) argument, zašto onda se ne može koristiti ako netko može biti izveden iz te stvari (na određenoj strani)?	logic,proof-writing
A.37	Ne trivijalni primjeri $f\circ g = g \circ f$, ali $f^{-1} \neq g$ i $f\neq\mathrm{id}\neq g$.	Postoje li funkcije $f$ i $g$ s realnom vrijednošću koje nisu međusobno obrnuto, identitet ili linearno, ali ipak pokazuju ponašanje $$f\circ g = g \circ f?$$ Primjeri kao što su $f(x) = 2x$ i $g(x)=3x$ su "trivijalni" u tom smislu.	real-analysis,functional-analysis,functions
A.38	Koriste aksioma izbora	Ja sam prvi godinu studenta matematike, ali povremeno odlažem od našeg predavanja. Prije nekoliko godina prvi put sam vidio ZFC aksiome, ali sada kad sam na koledžu, i iako stvari koje sam naučio do sada nije ni blizu ZFC (u smislu teškoće), dogodilo se da mi se koristi aksioma izbora cijelo vrijeme u svakom modulu, čak i ako ga još ne znamo po imenu. Na primjer, u dokazu da za svaki ne-negativni cjeloviti $a, b$, postoje čjeli QZZ2 (s poznitim ograničenjima na r), a dokaz počinje ovako: QZOC3 najveći cjeloviti $q : qb <= a$ ... bla bla bla bla. Je li to aksioma izbora koja nam omogućuje izvršavanje ovog jednostavnog ali tako važnog alternativnog rezultata i još nekoliko pitanja: Možete li čitati neke druge jednostavne rezultate, ili dokaz za koji je sustav koji je bio bitan za pitanje, a da li su neki matematičnici, također, prihvaćaju i ne mogu li se ispitati?	set-theory
A.39	Kako znati koja vrijednost je veća?	Koje je veće između $2018^{2019}$ ili $\ 2019^{2018}\ $? Kad uzmem dnevnike s obje strane i dobijem: $2019\log(2018)\ $ i $\ 2018 \log(2019)$ znam $\log 2019\gt \log 2018$, znači li to da je $2019^{2018}$ najveći?	algebra-precalculus,logarithms
A.40	Što znači izraz "linijski"	$a_1x_1+a_2x_2+a_3x_3+...+a_nx_n=$ se naziva linearno jednadžbo jer predstavlja jednadžbo linije u n dimenzijskom prostoru. Dakle, "linear" dolazi od riječi "line". U osnovi ne bi trebalo biti nijedna veća snaga x-a koji ne bi grafu funkcije bio ravna linija. Slično tome $a(x)y+b(x)y'+c(x)y"+d(x)y'''+...+q(x)=0$ se također naziva linearno diferencijalno jednadžbo jer sve derivate imaju snaga jednako 1 koji je sličan gore definiranom linijskom jednadžbom.	linear-algebra
A.41	Zaburjenost u tome kako pronaći broj na funkcije ako su dva seta	U knjizi je dato ako su A i B dva konačna skupina koja sadrže $m$ i $n$ elemente, odnosno, onda će broj na funkcije od A do B biti ako $n \leq m$ $$\sum_{r=1}^n (-1)^{(n-r)} {n \choose r}(r)^m $$ dobro ne mogu razumjeti i ja sam svjestan kombinacija.	combinatorics,functions,combinations
A.42	Što je jednostavna, fizička situacija u kojoj se složeni brojevi prirodno pojavljuju?	Pokušavam naučiti srednjoškolce o pojavljivanju složenih brojeva i želim to organično motivirati. Mislim na neki problem u stvarnom svijetu koji su ljudi pokušavali riješiti koji ih je doveo do shvatanja da moramo proširiti stvarne brojeve na kompleks. Na primjer, Grci su bili prisiljeni prepoznati iracionalne brojeve ne iz čisto matematičkih razloga, već zato što je dužina dijagonale kvadrata s jediničnom dužinom stvarno iracionalna, i to je vrsta geometrijske situacije s kojom su već se bavili.	complex-numbers,physics,applications
A.43	Ispostavljanje $\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2$	Pokušavam dokazati $$\sum_{n\geq1}\frac1{n^2+1}=\frac{\pi\coth\pi-1}2$$ Pustite $$S=\sum_{n\geq1}\frac1{n^2+1}$$ podsjećamo Fourierovu seriju za eksponencijalnu funkciju $$e^x=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos nx-n\sin nx)$$ priključivanje u $x=\pi$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}(\cos n\pi-n\sin n\pi)$$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi\sum_{n\geq1}\frac{(-1)^n}{n^2+1}((-1)^n-n\cdot0)$$ $$e^\pi=\frac{\sinh\pi}\pi+\frac{2\sinh\pi}\pi S$$ $$S=\frac{\pi e^\pi}{2\sinh\pi}-\frac12$$ Ali to nije ni blizu ispraviti.	real-analysis,sequences-and-series
A.44	Za $A,B \in \mathscr{M}_{2\times2}(\mathbb{Q}) $ krajnjeg reda, pokažite da $AB$ ima beskonačan red	Neka $G$ bude skupina $ ( \mathscr{M}_{2\times2}(\mathbb{Q}) , \times ) $ nejedinstvenih matrica. Neka $ A = \left ( \begin{matrix}  0 & -1 \\   1 & 0  \end{matrix} \right ) $, redoslijed $A$ je $4$; neka $ B = \left ( \begin{matrix}  0 & 1 \\   -1 & -1  \end{matrix} \right ) $, redoslijed $B$ je $3$. Pokažite da $AB$ ima beskonačan redoslijed. Jedini mogući razbor je po suprotnosti jer $G$ nije abelijanski. I tako sam pokušao, ali sam se zaglavio prije bilo kakvog konkretnog razvoja.	matrices,group-theory,cyclic-groups
A.45	Kako dokazati da je {$\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)$} neovisno u $\mathbb{R}$?	Dokazati da je {$\sin(x) , \sin(2x) , \sin(3x) ,...,\sin(nx)$} neovisno u $\mathbb{R}$ moj test: znamo da Wronsekian ne bi trebao biti $0$ da dobiju trivijalno rješenje i stoga su neovisni. nije trivijalno pokazati da je $ W \not = 0$ W = $\begin{vmatrix} (1)\sin(x) & (1)\sin(2x) & (1)\sin(3x) &  ... &   (1)\sin(nx) \\ (1)\cos(x) & (2)\cos(2x) & (3)\cos(3x) &  ... &   (n)\cos(nx) \\  -(1)^2\sin(x) & -(2)^2\sin(2x) & -(3)^2\sin(3x) &  ... &   -(n)^2\sin(nx) \\ -(1)^3\cos(x) & -(2)^3\cos(2x) & -(3)^3\cos(3x) &  ... &   -(n)^3\cos(nx) \\ \end{vmatrix}$ i tako dalje. izgleda kao Vandermonde matica, ali ne mogu dokazati da i tako zaključimo da je njegov $W\not =0$	ordinary-differential-equations
